ARMS RACE MECHANICS -- TECH LIST GENERATION REPORT
============================================================

Total techs parsed:    1507
    1948  strategic_airlifter

  [industry_electronics / electronics] -- 17 techs
    1936  electronic_mechanical_engineering
    1936  radio
    1936  mechanical_computing
    1936  basic_fire_control_system
    1936  improved_fire_control_system
    1936  advanced_fire_control_system
    1938  improved_radio
    1938  computing_machine
    1938  basic_encryption
    1938  basic_decryption
    1940  improved_computing_machine
    1940  improved_encryption
    1940  improved_decryption
    1941  advanced_radio
    1942  advanced_computing_machine
    1942  advanced_encryption
    1942  advanced_decryption

  [industry_electronics / industry] -- 32 techs
    1936  basic_fortification_tech
    1936  coastal_fort_tech_1
    1936  basic_machine_tools
    1936  concentrated_industry
    1936  dispersed_industry
    1936  synth_oil_experiments
    1937  improved_machine_tools
    1937  improved_equipment_conversion
    1937  concentrated_industry2
    1937  dispersed_industry2
    1937  oil_processing
    1937  rubber_processing
    1938  land_fort_tech_1
    1939  advanced_machine_tools
    1939  advanced_equipment_conversion
    1939  concentrated_industry3
    1939  dispersed_industry3
    1939  improved_oil_processing
    1939  improved_rubber_processing
    1940  land_fort_tech_2
    1940  coastal_fort_tech_2
    1941  assembly_line_production
    1941  concentrated_industry4
    1941  dispersed_industry4
    1941  advanced_oil_processing
    1941  advanced_rubber_processing
    1943  flexible_line
    1943  streamlined_line
    1943  concentrated_industry5
    1943  dispersed_industry5
    1943  modern_oil_processing
    1943  modern_rubber_processing

  [industry_electronics / nuclear] -- 6 techs
    1940  atomic_research
    1943  nuclear_reactor
    1943  nuclear_reactor_heavy_water
    1943  isotope_separation_centrifugal
    1945  nukes
    1950  thermonuclear_bombs

  [industry_electronics / radar] -- 5 techs
    1936  radio_detection
    1938  cavity_magnatron
    1940  centimetric_radar
    1941  phased_array
    1942  monopulse_radar

  [industry_electronics / rockets] -- 15 techs
    1939  motorized_rocket_unit
    1940  rocket_artillery
    1941  rocket_artillery2
    1942  rocket_artillery3
    1942  experimental_rockets
    1943  rocket_artillery4
    1943  sp_rockets_improved_guidance
    1944  rocket_engines
    1944  sp_rockets_rocket_bomber
    1944  jet_engines
    1944  sp_rockets_dual_chamber_rocket_engine_1
    1945  sp_rockets_improved_rocket_bomber
    1945  improved_rocket_engines
    1946  advanced_rocket_engines
    1946  sp_rockets_dual_chamber_rocket_engine_2

  [land / anti_air] -- 6 techs
    1936  interwar_antiair
    1939  antiair1
    1940  antiair2
    1941  antiair3
    1942  antiair4
    1943  antiair5

  [land / anti_tank] -- 962 techs
    1922  photo_reconnaisance
    1936  mountain_tanks
    1936  interwar_antitank
    1936  SWE_bofors_antitank_gun
    1936  SP_Anti_Air_0
          [from: millennium_dawn]
    1936  SP_Anti_Air_1
          [from: millennium_dawn]
    1936  SP_Anti_Air_2
          [from: millennium_dawn]
    1936  SP_Anti_Air_3
          [from: millennium_dawn]
    1936  SP_Anti_Air_4
          [from: millennium_dawn]
    1936  fake_CAT_armor
          [from: millennium_dawn]
    1936  SP_arty_0
          [from: millennium_dawn]
    1936  SP_R_arty_0
          [from: millennium_dawn]
    1936  SP_R_arty_1
          [from: millennium_dawn]
    1936  SP_R_arty_2
          [from: millennium_dawn]
    1936  SP_R_arty_3
          [from: millennium_dawn]
    1936  SP_R_arty_4
          [from: millennium_dawn]
    1936  CV_MR_Fighter1
          [from: millennium_dawn]
    1936  CV_MR_Fighter2
          [from: millennium_dawn]
    1936  CV_MR_Fighter3
          [from: millennium_dawn]
    1936  CV_MR_Fighter4
          [from: millennium_dawn]
    1936  CV_MR_Fighter5
          [from: millennium_dawn]
    1936  CV_MR_Fighter6
          [from: millennium_dawn]
    1936  CV_MR_Fighter7
          [from: millennium_dawn]
    1936  CV_L_Strike_fighter1
          [from: millennium_dawn]
    1936  CV_L_Strike_fighter2
          [from: millennium_dawn]
    1936  CV_L_Strike_fighter3
          [from: millennium_dawn]
    1936  CV_L_Strike_fighter4
          [from: millennium_dawn]
    1936  CV_L_Strike_fighter5
          [from: millennium_dawn]
    1936  Air_Kamikaze1
          [from: millennium_dawn]
    1936  Air_Kamikaze2
          [from: millennium_dawn]
    1936  Air_Kamikaze3
          [from: millennium_dawn]
    1936  Air_Kamikaze4
          [from: millennium_dawn]
    1936  legacy_doctrines (XP)
          [from: millennium_dawn]
    1936  combined_arms (XP)
          [from: millennium_dawn]
    1936  armoured_mass_assault (XP)
          [from: millennium_dawn]
    1936  superior_firepower (XP)
          [from: millennium_dawn]
    1936  infantry_mass_assault (XP)
          [from: millennium_dawn]
    1936  early_guerilla_warfare (XP)
          [from: millennium_dawn]
    1939  antitank1
    1940  antitank2
    1941  antitank3
    1942  antitank4
    1943  antitank5
    1945  sp_centrifugal_jet_tech
    1945  Early_APC
          [from: millennium_dawn]
    1945  ballistic_missile
          [from: millennium_dawn]
    1945  early_bomber
          [from: millennium_dawn]
    1945  cruise_missile
          [from: millennium_dawn]
    1945  basic_computing
          [from: millennium_dawn]
    1945  radar
          [from: millennium_dawn]
    1945  early_fighter
          [from: millennium_dawn]
    1945  air_defense
          [from: millennium_dawn]
    1945  tech_naval_systems_engineering (XP)
          [from: millennium_dawn]
    1945  tech_early_naval_weapon_systems (XP)
          [from: millennium_dawn]
    1945  air_defense_non_got
          [from: millennium_dawn]
    1945  cruise_missile_non_got
          [from: millennium_dawn]
    1945  mbt_tech_ops
          [from: millennium_dawn]
    1945  small_medium_gun_tech
          [from: millennium_dawn]
    1945  small_autocannon_tech
          [from: millennium_dawn]
    1945  aircraft_carrier_engineering (XP)
          [from: millennium_dawn]
    1945  tech_submarine_engineering (XP)
          [from: millennium_dawn]
    1955  ICBM
          [from: millennium_dawn]
    1955  IRBM
          [from: millennium_dawn]
    1955  early_airframe_designs
          [from: millennium_dawn]
    1955  early_weapons
          [from: millennium_dawn]
    1955  GLCM
          [from: millennium_dawn]
    1955  TEL_launched_missiles
          [from: millennium_dawn]
    1955  SAM
          [from: millennium_dawn]
    1955  SAM_non_got
          [from: millennium_dawn]
    1955  GLCM_non_got
          [from: millennium_dawn]
    1955  TEL_launched_missiles_non_got
          [from: millennium_dawn]
    1958  integrated_circuit
          [from: millennium_dawn]
    1960  gen_3_light
          [from: millennium_dawn]
    1960  gen_3_medium
          [from: millennium_dawn]
    1960  gen_3_large
          [from: millennium_dawn]
    1965  nsb_attack_helicopter_tech_1
          [from: millennium_dawn]
    1965  attack_helicopter1
          [from: millennium_dawn]
    1965  helo_ops_tech
          [from: millennium_dawn]
    1965  nsb_transport_helicopter1
          [from: millennium_dawn]
    1965  transport_helicopter1
          [from: millennium_dawn]
    1965  nsb_engine_tech_1
          [from: millennium_dawn]
    1965  nsb_multiple_atgm_tech_1
          [from: millennium_dawn]
    1965  nsb_heavy_atgm_tech_1
          [from: millennium_dawn]
    1965  nsb_rocket_pods_tech_1
          [from: millennium_dawn]
    1965  nsb_gun_pods_tech_1
          [from: millennium_dawn]
    1965  nsb_light_nose_gun_tech_1
          [from: millennium_dawn]
    1965  Anti_Air_0
          [from: millennium_dawn]
    1965  Anti_tank_0
          [from: millennium_dawn]
    1965  Heavy_Anti_tank_0
          [from: millennium_dawn]
    1965  MBT_1
          [from: millennium_dawn]
    1965  APC_1
          [from: millennium_dawn]
    1965  IFV_1
          [from: millennium_dawn]
    1965  Rec_tank_0
          [from: millennium_dawn]
    1965  artillery_0
          [from: millennium_dawn]
    1965  ICBM1
          [from: millennium_dawn]
    1965  IRBM1
          [from: millennium_dawn]
    1965  air_weapons_1
          [from: millennium_dawn]
    1965  countermeasures_1
          [from: millennium_dawn]
    1965  naval_weapons_1
          [from: millennium_dawn]
    1965  ag_weapons_1
          [from: millennium_dawn]
    1965  strategic_bomber1
          [from: millennium_dawn]
    1965  transport_plane1
          [from: millennium_dawn]
    1965  naval_plane1
          [from: millennium_dawn]
    1965  TEL_3
          [from: millennium_dawn]
    1965  GLCM1
          [from: millennium_dawn]
    1965  computing1
          [from: millennium_dawn]
    1965  decryption1
          [from: millennium_dawn]
    1965  encryption1
          [from: millennium_dawn]
    1965  AS_Fighter1
          [from: millennium_dawn]
    1965  MR_Fighter1
          [from: millennium_dawn]
    1965  Strike_fighter1
          [from: millennium_dawn]
    1965  L_Strike_fighter1
          [from: millennium_dawn]
    1965  infantry_weapons
          [from: millennium_dawn]
    1965  util_vehicle_0
          [from: millennium_dawn]
    1965  combat_eng_equipment (XP)
          [from: millennium_dawn]
    1965  night_vision_1 (XP)
          [from: millennium_dawn]
    1965  camouflage (XP)
          [from: millennium_dawn]
    1965  support_weapons (XP)
          [from: millennium_dawn]
    1965  special_forces (XP)
          [from: millennium_dawn]
    1965  SAM0
          [from: millennium_dawn]
    1965  battleship_hull_1
          [from: millennium_dawn]
    1965  aircraft_heli_engineering_1 (XP)
          [from: millennium_dawn]
    1965  carrier_hull_1
          [from: millennium_dawn]
    1965  tech_submarine_engineering_1 (XP)
          [from: millennium_dawn]
    1965  attack_submarine_hull_1
          [from: millennium_dawn]
    1965  missile_submarine_hull_1
          [from: millennium_dawn]
    1965  tech_power_systems (XP)
          [from: millennium_dawn]
    1965  tech_nuclear_power_systems (XP)
          [from: millennium_dawn]
    1965  tech_combat_support_systems (XP)
          [from: millennium_dawn]
    1965  tech_fire_control (XP)
          [from: millennium_dawn]
    1965  tech_naval_weapon_systems (XP)
          [from: millennium_dawn]
    1965  tech_landing_craft (XP)
          [from: millennium_dawn]
    1965  SAM0_non_got
          [from: millennium_dawn]
    1965  TEL_3_non_got
          [from: millennium_dawn]
    1965  GLCM1_non_got
          [from: millennium_dawn]
    1965  nsb_SHORAD_missile_0
          [from: millennium_dawn]
    1965  nsb_dual_role_missile_0
          [from: millennium_dawn]
    1965  nsb_AA_autocannon_0
          [from: millennium_dawn]
    1965  nsb_Anti_Air_0
          [from: millennium_dawn]
    1965  mbt_tech
          [from: millennium_dawn]
    1965  tank_components_tech
          [from: millennium_dawn]
    1965  armor_tech
          [from: millennium_dawn]
    1965  diesel_engine_tech
          [from: millennium_dawn]
    1965  medium_gun_tech
          [from: millennium_dawn]
    1965  big_autocannon_tech
          [from: millennium_dawn]
    1965  assault_gun_tech
          [from: millennium_dawn]
    1965  nsb_artillery_ammo_1
          [from: millennium_dawn]
    1965  nsb_special_ammo_0
          [from: millennium_dawn]
    1965  nsb_gun_technology_1
          [from: millennium_dawn]
    1965  nsb_barrel_conversions
          [from: millennium_dawn]
    1965  nsb_artillery_0
          [from: millennium_dawn]
    1965  GNSS1
          [from: millennium_dawn]
    1965  COMSAT1
          [from: millennium_dawn]
    1965  SPYSAT1
          [from: millennium_dawn]
    1965  OLV1
          [from: millennium_dawn]
    1965  nsb_atgm_tech_1
          [from: millennium_dawn]
    1965  corvette_hull_1
          [from: millennium_dawn]
    1965  frigate_hull_1
          [from: millennium_dawn]
    1965  destroyer_hull_1
          [from: millennium_dawn]
    1965  cruiser_hull_1
          [from: millennium_dawn]
    1970  flying_wing_design
          [from: millennium_dawn]
    1970  special_mad_1
          [from: millennium_dawn]
    1970  gunship_1
          [from: millennium_dawn]
    1970  tgp_recon_1
          [from: millennium_dawn]
    1970  helicopter_operator_hull_1
          [from: millennium_dawn]
    1970  tech_point_defense_system (XP)
          [from: millennium_dawn]
    1970  defensive_systems
          [from: millennium_dawn]
    1970  early_cold_war_ammo
          [from: millennium_dawn]
    1975  MBT_2
          [from: millennium_dawn]
    1975  APC_2
          [from: millennium_dawn]
    1975  IFV_2
          [from: millennium_dawn]
    1975  ICBM2
          [from: millennium_dawn]
    1975  IRBM2
          [from: millennium_dawn]
    1975  NIRBM1
          [from: millennium_dawn]
    1975  engines_2
          [from: millennium_dawn]
    1975  strategic_bomber2
          [from: millennium_dawn]
    1975  naval_plane2
          [from: millennium_dawn]
    1975  cas1
          [from: millennium_dawn]
    1975  TEL_4
          [from: millennium_dawn]
    1975  GLCM2
          [from: millennium_dawn]
    1975  microprocessors
          [from: millennium_dawn]
    1975  internet1
          [from: millennium_dawn]
    1975  infantry_weapons1
          [from: millennium_dawn]
    1975  util_vehicle_1
          [from: millennium_dawn]
    1975  night_vision_2 (XP)
          [from: millennium_dawn]
    1975  command_control_equipment
          [from: millennium_dawn]
    1975  squad_automatic_weapon (XP)
          [from: millennium_dawn]
    1975  tandem_charge_warheads (XP)
          [from: millennium_dawn]
    1975  special_forces2 (XP)
          [from: millennium_dawn]
    1975  SAM1
          [from: millennium_dawn]
    1975  tech_light_guns (XP)
          [from: millennium_dawn]
    1975  tech_point_defense_system_1 (XP)
          [from: millennium_dawn]
    1975  tech_turret_missiles_surface (XP)
          [from: millennium_dawn]
    1975  tech_turret_missiles_aa (XP)
          [from: millennium_dawn]
    1975  tech_vls_surface (XP)
          [from: millennium_dawn]
    1975  tech_vls_aa (XP)
          [from: millennium_dawn]
    1975  tech_torpedoes (XP)
          [from: millennium_dawn]
    1975  SAM1_non_got
          [from: millennium_dawn]
    1975  TEL_4_non_got
          [from: millennium_dawn]
    1975  GLCM2_non_got
          [from: millennium_dawn]
    1975  mbt_tech_1
          [from: millennium_dawn]
    1975  tank_components_tech_2
          [from: millennium_dawn]
    1975  era_tech
          [from: millennium_dawn]
    1975  diesel_engine_tech_2
          [from: millennium_dawn]
    1975  turbine_engine_tech
          [from: millennium_dawn]
    1975  electric_engine_tech_1
          [from: millennium_dawn]
    1975  small_autocannon_tech_2
          [from: millennium_dawn]
    1975  GNSS2
          [from: millennium_dawn]
    1975  COMSAT2
          [from: millennium_dawn]
    1975  SPYSAT2
          [from: millennium_dawn]
    1975  OLV2
          [from: millennium_dawn]
    1980  AA_upgrade_1 (XP)
          [from: millennium_dawn]
    1980  AT_upgrade_1 (XP)
          [from: millennium_dawn]
    1980  Arty_upgrade_1 (XP)
          [from: millennium_dawn]
    1980  gen_4_light
          [from: millennium_dawn]
    1980  gen_4_medium
          [from: millennium_dawn]
    1980  gen_4_large
          [from: millennium_dawn]
    1980  avionics_1
          [from: millennium_dawn]
    1980  refueling_1
          [from: millennium_dawn]
    1980  body_armor_1980 (XP)
          [from: millennium_dawn]
    1980  camouflage2 (XP)
          [from: millennium_dawn]
    1980  corvette_hull_2
          [from: millennium_dawn]
    1980  frigate_hull_2
          [from: millennium_dawn]
    1980  attack_submarine_hull_2
          [from: millennium_dawn]
    1980  missile_submarine_hull_2
          [from: millennium_dawn]
    1980  tech_combat_radar (XP)
          [from: millennium_dawn]
    1980  tech_combat_sonar (XP)
          [from: millennium_dawn]
    1980  nsb_AA_upgrade_1 (XP)
          [from: millennium_dawn]
    1980  defensive_systems_2
          [from: millennium_dawn]
    1980  nsb_Arty_upgrade_1 (XP)
          [from: millennium_dawn]
    1985  nsb_attack_helicopter_tech_2
          [from: millennium_dawn]
    1985  attack_helicopter2
          [from: millennium_dawn]
    1985  nsb_transport_helicopter2
          [from: millennium_dawn]
    1985  transport_helicopter2
          [from: millennium_dawn]
    1985  nsb_engine_tech_2
          [from: millennium_dawn]
    1985  nsb_multiple_atgm_tech_2
          [from: millennium_dawn]
    1985  nsb_heavy_atgm_tech_2
          [from: millennium_dawn]
    1985  nsb_rocket_pods_tech_2
          [from: millennium_dawn]
    1985  nsb_gun_pods_tech_2
          [from: millennium_dawn]
    1985  nsb_light_nose_gun_tech_2
          [from: millennium_dawn]
    1985  nsb_defense_tech_1
          [from: millennium_dawn]
    1985  Anti_Air_1
          [from: millennium_dawn]
    1985  Anti_tank_1
          [from: millennium_dawn]
    1985  Heavy_Anti_tank_1
          [from: millennium_dawn]
    1985  MBT_3
          [from: millennium_dawn]
    1985  APC_3
          [from: millennium_dawn]
    1985  IFV_3
          [from: millennium_dawn]
    1985  Rec_tank_1
          [from: millennium_dawn]
    1985  artillery_1
          [from: millennium_dawn]
    1985  SP_arty_1
          [from: millennium_dawn]
    1985  ICBM3
          [from: millennium_dawn]
    1985  IRBM3
          [from: millennium_dawn]
    1985  NIRBM2
          [from: millennium_dawn]
    1985  awacs_1
          [from: millennium_dawn]
    1985  drone_1
          [from: millennium_dawn]
    1985  redundant_1
          [from: millennium_dawn]
    1985  strategic_bomber3
          [from: millennium_dawn]
    1985  transport_plane2
          [from: millennium_dawn]
    1985  naval_plane3
          [from: millennium_dawn]
    1985  awacs_plane1
          [from: millennium_dawn]
    1985  cv_awacs_plane1
          [from: millennium_dawn]
    1985  TEL_5
          [from: millennium_dawn]
    1985  GLCM3
          [from: millennium_dawn]
    1985  neural_networks_revival
          [from: millennium_dawn]
    1985  computing2
          [from: millennium_dawn]
    1985  decryption2
          [from: millennium_dawn]
    1985  encryption2
          [from: millennium_dawn]
    1985  AS_Fighter2
          [from: millennium_dawn]
    1985  MR_Fighter2
          [from: millennium_dawn]
    1985  Strike_fighter2
          [from: millennium_dawn]
    1985  industrial_electrospun_polymeric_nanofibers
          [from: millennium_dawn]
    1985  stereolitography
          [from: millennium_dawn]
    1985  DNA_fingerprinting
          [from: millennium_dawn]
    1985  fuel_silos
          [from: millennium_dawn]
    1985  nuclear_technology
          [from: millennium_dawn]
    1985  construction1
          [from: millennium_dawn]
    1985  excavation1
          [from: millennium_dawn]
    1985  integrated_transportation_system
          [from: millennium_dawn]
    1985  infantry_weapons2
          [from: millennium_dawn]
    1985  util_vehicle_2
          [from: millennium_dawn]
    1985  night_vision_3 (XP)
          [from: millennium_dawn]
    1985  command_control_equipment1
          [from: millennium_dawn]
    1985  land_Drone_equipment (XP)
          [from: millennium_dawn]
    1985  support_weapons2 (XP)
          [from: millennium_dawn]
    1985  special_forces3 (XP)
          [from: millennium_dawn]
    1985  SAM2
          [from: millennium_dawn]
    1985  cruiser_hull_2
          [from: millennium_dawn]
    1985  aircraft_heli_engineering_2 (XP)
          [from: millennium_dawn]
    1985  carrier_hull_2
          [from: millennium_dawn]
    1985  tech_turret_missiles_surface_1 (XP)
          [from: millennium_dawn]
    1985  tech_turret_missiles_aa_1 (XP)
          [from: millennium_dawn]
    1985  tech_vls_surface_1 (XP)
          [from: millennium_dawn]
    1985  tech_vls_aa_1 (XP)
          [from: millennium_dawn]
    1985  tech_amphibious_assault_ship (XP)
          [from: millennium_dawn]
    1985  SAM2_non_got
          [from: millennium_dawn]
    1985  TEL_5_non_got
          [from: millennium_dawn]
    1985  GLCM3_non_got
          [from: millennium_dawn]
    1985  nsb_SHORAD_missile_1
          [from: millennium_dawn]
    1985  nsb_dual_role_missile_1
          [from: millennium_dawn]
    1985  nsb_AA_autocannon_1
          [from: millennium_dawn]
    1985  nsb_Anti_Air_1
          [from: millennium_dawn]
    1985  era_tech_2
          [from: millennium_dawn]
    1985  armor_tech_2
          [from: millennium_dawn]
    1985  nera_armor_tech_1
          [from: millennium_dawn]
    1985  cold_war_ammo
          [from: millennium_dawn]
    1985  diesel_engine_tech_3
          [from: millennium_dawn]
    1985  turbine_engine_tech_2
          [from: millennium_dawn]
    1985  small_medium_gun_tech_2
          [from: millennium_dawn]
    1985  medium_gun_tech_2
          [from: millennium_dawn]
    1985  big_autocannon_tech_2
          [from: millennium_dawn]
    1985  assault_gun_tech_2
          [from: millennium_dawn]
    1985  CZE_engine_tech
          [from: millennium_dawn]
    1985  nsb_artillery_ammo_2
          [from: millennium_dawn]
    1985  nsb_special_ammo_1
          [from: millennium_dawn]
    1985  nsb_gun_technology_2
          [from: millennium_dawn]
    1985  nsb_fire_modes_1
          [from: millennium_dawn]
    1985  nsb_artillery_1
          [from: millennium_dawn]
    1985  GNSS3
          [from: millennium_dawn]
    1985  COMSAT3
          [from: millennium_dawn]
    1985  SPYSAT3
          [from: millennium_dawn]
    1985  KILLSAT1
          [from: millennium_dawn]
    1985  OLV3
          [from: millennium_dawn]
    1985  nsb_atgm_tech_2
          [from: millennium_dawn]
    1985  nuclear_engines
          [from: millennium_dawn]
    1990  suicide_drone_1
          [from: millennium_dawn]
    1990  variable_wing_design
          [from: millennium_dawn]
    1990  delta_wing_design
          [from: millennium_dawn]
    1990  air_weapons_2
          [from: millennium_dawn]
    1990  countermeasures_2
          [from: millennium_dawn]
    1990  naval_weapons_2
          [from: millennium_dawn]
    1990  ag_weapons_2
          [from: millennium_dawn]
    1990  data_mining
          [from: millennium_dawn]
    1990  machine_learning
          [from: millennium_dawn]
    1990  internet2
          [from: millennium_dawn]
    1990  multiwalled_carbon_nanotubes
          [from: millennium_dawn]
    1990  early_3D_printers
          [from: millennium_dawn]
    1990  modern_gmo
          [from: millennium_dawn]
    1990  fuel_efficiency
          [from: millennium_dawn]
    1990  energy_efficiency
          [from: millennium_dawn]
    1990  fuel_refining
          [from: millennium_dawn]
    1990  early_renewables
          [from: millennium_dawn]
    1990  reactor1
          [from: millennium_dawn]
    1990  land_fort_building_1
          [from: millennium_dawn]
    1990  stronghold_building_1
          [from: millennium_dawn]
    1990  post_conventional_rail
          [from: millennium_dawn]
    1990  gps_agricultural_applications
          [from: millennium_dawn]
    1990  destroyer_hull_2
          [from: millennium_dawn]
    1990  tech_submarine_engineering_2 (XP)
          [from: millennium_dawn]
    1990  tech_nuclear_power_systems_1 (XP)
          [from: millennium_dawn]
    1990  tech_point_defense_system_2 (XP)
          [from: millennium_dawn]
    1990  tech_torpedoes_1 (XP)
          [from: millennium_dawn]
    1990  tech_air_cushioned_landing_craft (XP)
          [from: millennium_dawn]
    1990  tech_fire_control_1 (XP)
          [from: millennium_dawn]
    1995  MBT_4
          [from: millennium_dawn]
    1995  APC_4
          [from: millennium_dawn]
    1995  IFV_4
          [from: millennium_dawn]
    1995  ICBM4
          [from: millennium_dawn]
    1995  IRBM4
          [from: millennium_dawn]
    1995  NIRBM3
          [from: millennium_dawn]
    1995  special_mad_2
          [from: millennium_dawn]
    1995  gunship_2
          [from: millennium_dawn]
    1995  tgp_recon_2
          [from: millennium_dawn]
    1995  transport_plane3
          [from: millennium_dawn]
    1995  cas2
          [from: millennium_dawn]
    1995  TEL_6
          [from: millennium_dawn]
    1995  GLCM4
          [from: millennium_dawn]
    1995  computing3
          [from: millennium_dawn]
    1995  decryption3
          [from: millennium_dawn]
    1995  encryption3
          [from: millennium_dawn]
    1995  gprs
          [from: millennium_dawn]
    1995  AS_upgrade_1 (XP)
          [from: millennium_dawn]
    1995  AS_Fighter3
          [from: millennium_dawn]
    1995  MR_upgrade_1 (XP)
          [from: millennium_dawn]
    1995  MR_Fighter3
          [from: millennium_dawn]
    1995  Strike_upgrade_1 (XP)
          [from: millennium_dawn]
    1995  Strike_fighter3
          [from: millennium_dawn]
    1995  L_Strike_fighter2
          [from: millennium_dawn]
    1995  Air_UAV1
          [from: millennium_dawn]
    1995  modern_electrospinning
          [from: millennium_dawn]
    1995  t3D_wax_printer
          [from: millennium_dawn]
    1995  gene_therapy
          [from: millennium_dawn]
    1995  electrification_1
          [from: millennium_dawn]
    1995  energy_efficiency2
          [from: millennium_dawn]
    1995  fuel_refining2
          [from: millennium_dawn]
    1995  renewables
          [from: millennium_dawn]
    1995  reactor2
          [from: millennium_dawn]
    1995  construction2
          [from: millennium_dawn]
    1995  excavation2
          [from: millennium_dawn]
    1995  early_freight_locomotive
          [from: millennium_dawn]
    1995  automated_irrigation_systems
          [from: millennium_dawn]
    1995  infantry_weapons3
          [from: millennium_dawn]
    1995  util_vehicle_3
          [from: millennium_dawn]
    1995  command_control_equipment2
          [from: millennium_dawn]
    1995  land_Drone_equipment1 (XP)
          [from: millennium_dawn]
    1995  support_weapons3 (XP)
          [from: millennium_dawn]
    1995  special_forces4 (XP)
          [from: millennium_dawn]
    1995  SAM3
          [from: millennium_dawn]
    1995  corvette_hull_3
          [from: millennium_dawn]
    1995  frigate_hull_3
          [from: millennium_dawn]
    1995  helicopter_operator_hull_2
          [from: millennium_dawn]
    1995  attack_submarine_hull_3
          [from: millennium_dawn]
    1995  missile_submarine_hull_3
          [from: millennium_dawn]
    1995  tech_power_systems_1 (XP)
          [from: millennium_dawn]
    1995  tech_combat_radar_1 (XP)
          [from: millennium_dawn]
    1995  tech_combat_sonar_1 (XP)
          [from: millennium_dawn]
    1995  TEL_6_non_got
          [from: millennium_dawn]
    1995  GLCM4_non_got
          [from: millennium_dawn]
    1995  mbt_tech_2
          [from: millennium_dawn]
    1995  tank_components_tech_3
          [from: millennium_dawn]
    1995  defensive_systems_3
          [from: millennium_dawn]
    1995  diesel_engine_tech_4
          [from: millennium_dawn]
    1995  turbine_engine_tech_3
          [from: millennium_dawn]
    1995  electric_engine_tech_2
          [from: millennium_dawn]
    1995  CZE_engine_tech_2
          [from: millennium_dawn]
    1995  CZE_engine_tech_7
          [from: millennium_dawn]
    1995  GNSS4
          [from: millennium_dawn]
    1995  COMSAT4
          [from: millennium_dawn]
    1995  SPYSAT4
          [from: millennium_dawn]
    1995  KILLSAT2
          [from: millennium_dawn]
    1995  OLV4
          [from: millennium_dawn]
    1995  large_gun_tech
          [from: millennium_dawn]
    2000  AA_upgrade_2 (XP)
          [from: millennium_dawn]
    2000  AA_upgrade_3 (XP)
          [from: millennium_dawn]
    2000  AT_upgrade_2 (XP)
          [from: millennium_dawn]
    2000  Arty_upgrade_2 (XP)
          [from: millennium_dawn]
    2000  Arty_upgrade_3 (XP)
          [from: millennium_dawn]
    2000  avionics_2
          [from: millennium_dawn]
    2000  redundant_2
          [from: millennium_dawn]
    2000  sociable_machines
          [from: millennium_dawn]
    2000  internet3
          [from: millennium_dawn]
    2000  wifi
          [from: millennium_dawn]
    2000  inorganic_fibers_fabrication
          [from: millennium_dawn]
